org,repo,number,date,is_merged,state,user
jupyter,colaboratory,118,2015-07-15 13:09:16,True,closed,wernight
jupyter,colaboratory,120,2016-01-02 01:29:16,True,closed,krishpop
jupyter,design,22,2016-01-16 14:46:05,True,closed,parente
jupyter,design,23,2016-01-18 17:49:26,True,closed,parente
jupyter,design,24,2016-03-03 20:45:26,True,closed,parente
jupyter,design,25,2016-04-27 13:54:06,True,closed,peller
jupyter,design,26,2016-04-27 19:40:58,True,closed,peller
jupyter,design,35,2016-11-15 23:35:23,True,closed,ellisonbg
jupyter,design,36,2016-11-15 23:39:16,True,closed,ellisonbg
jupyter,design,37,2016-11-16 01:14:06,True,closed,cameronoelsen
jupyter,design,39,2016-12-07 18:34:05,True,closed,spoorthyv
jupyter,design,40,2016-12-07 22:52:38,False,open,cameronoelsen
jupyter,design,42,2016-12-08 19:24:51,False,open,cameronoelsen
jupyter,docker-demo-images,26,2015-04-02 00:05:39,True,closed,wenzeslaus
jupyter,docker-demo-images,29,2015-04-17 22:53:04,True,closed,sumitsahrawat
jupyter,docker-demo-images,31,2015-04-23 22:55:39,True,closed,rgbkrk
jupyter,docker-demo-images,32,2015-04-24 16:21:55,True,closed,gitter-badger
jupyter,docker-demo-images,33,2015-04-26 14:12:17,True,closed,jreynolds01
jupyter,docker-demo-images,34,2015-04-27 21:42:01,True,closed,rgbkrk
jupyter,docker-demo-images,35,2015-04-30 01:37:36,True,closed,rgbkrk
jupyter,docker-demo-images,36,2015-05-08 03:27:32,True,closed,rgbkrk
jupyter,docker-demo-images,37,2015-05-08 15:52:43,True,closed,sumitsahrawat
jupyter,docker-demo-images,39,2015-05-12 20:10:16,True,closed,rgbkrk
jupyter,docker-demo-images,40,2015-05-14 19:38:04,True,closed,rgbkrk
jupyter,docker-demo-images,42,2015-05-23 02:28:49,True,closed,sumitsahrawat
jupyter,docker-demo-images,43,2015-05-23 15:41:43,True,closed,sumitsahrawat
jupyter,docker-demo-images,44,2015-05-25 01:55:21,True,closed,sumitsahrawat
jupyter,docker-demo-images,45,2015-05-25 21:10:30,True,closed,minad
jupyter,docker-demo-images,48,2015-05-29 16:08:23,True,closed,gibiansky
jupyter,docker-demo-images,49,2015-06-03 18:25:40,True,closed,rgbkrk
jupyter,docker-demo-images,50,2015-06-03 19:32:57,True,closed,rgbkrk
jupyter,docker-demo-images,51,2015-06-08 17:10:34,True,closed,rgbkrk
jupyter,docker-demo-images,52,2015-06-08 19:54:24,True,closed,rgbkrk
jupyter,docker-demo-images,53,2015-06-11 19:03:12,True,closed,rgbkrk
jupyter,docker-demo-images,54,2015-06-15 12:10:08,True,closed,minad
jupyter,docker-demo-images,55,2015-06-17 03:42:16,True,closed,rgbkrk
jupyter,docker-demo-images,56,2015-06-23 04:02:08,True,closed,rgbkrk
jupyter,docker-demo-images,57,2015-07-11 03:26:31,True,closed,parente
jupyter,docker-demo-images,58,2015-07-15 00:34:21,True,closed,parente
jupyter,docker-demo-images,60,2015-07-20 14:42:54,True,closed,parente
jupyter,docker-demo-images,61,2015-08-04 17:00:22,True,closed,tanyaschlusser
jupyter,docker-demo-images,62,2015-08-11 19:47:41,True,closed,sumitsahrawat
jupyter,docker-demo-images,66,2015-08-23 16:28:31,False,closed,kbroughton
jupyter,docker-demo-images,69,2015-09-12 08:52:57,False,closed,snowch
jupyter,docker-demo-images,70,2015-09-13 10:30:21,True,closed,snowch
jupyter,docker-demo-images,71,2015-09-13 13:14:28,True,closed,parente
jupyter,docker-demo-images,72,2015-09-22 14:02:14,True,closed,odewahn
jupyter,docker-demo-images,73,2015-09-25 13:40:35,True,closed,sumitsahrawat
jupyter,docker-demo-images,74,2015-10-04 03:32:31,True,closed,brendam
jupyter,docker-demo-images,75,2015-10-08 14:34:15,True,closed,parente
jupyter,docker-demo-images,76,2015-10-10 15:11:43,True,closed,tacaswell
jupyter,docker-demo-images,77,2015-10-15 04:19:23,True,closed,sumitsahrawat
jupyter,docker-demo-images,78,2015-10-19 12:29:31,True,closed,parente
jupyter,docker-demo-images,80,2015-11-02 20:29:54,True,closed,guiwork
jupyter,docker-demo-images,84,2016-02-17 07:40:58,True,closed,NHDaly
jupyter,docker-demo-images,85,2016-04-29 08:25:41,True,closed,minrk
jupyter,docker-demo-images,89,2016-05-03 13:18:49,True,closed,minrk
jupyter,docker-demo-images,90,2016-05-03 21:43:02,True,closed,minad
jupyter,docker-demo-images,91,2016-05-04 07:30:49,False,closed,minrk
jupyter,docker-demo-images,94,2016-06-28 12:02:23,True,closed,minrk
jupyter,docker-demo-images,96,2016-07-05 08:26:46,True,closed,minrk
jupyter,jupyter-drive,95,2015-04-02 12:09:06,True,closed,stared
jupyter,jupyter-drive,97,2015-04-13 23:46:40,True,closed,ptone
jupyter,jupyter-drive,98,2015-04-14 22:14:23,True,closed,Carreau
jupyter,jupyter-drive,100,2015-04-18 00:19:57,True,closed,Carreau
jupyter,jupyter-drive,101,2015-04-18 00:45:27,True,closed,Carreau
jupyter,jupyter-drive,102,2015-04-18 18:37:48,True,closed,Carreau
jupyter,jupyter-drive,103,2015-04-18 19:15:09,True,closed,Carreau
jupyter,jupyter-drive,104,2015-04-22 18:45:26,True,closed,Carreau
jupyter,jupyter-drive,105,2015-04-22 21:22:34,True,closed,Carreau
jupyter,jupyter-drive,108,2015-05-11 18:43:36,True,closed,jbwhit
jupyter,jupyter-drive,109,2015-05-11 21:13:43,True,closed,Carreau
jupyter,jupyter-drive,111,2015-05-13 18:58:34,True,closed,Carreau
jupyter,jupyter-drive,112,2015-05-15 16:07:05,True,closed,Carreau
jupyter,jupyter-drive,114,2015-05-19 18:59:38,True,closed,filmor
jupyter,jupyter-drive,115,2015-05-26 18:34:53,True,closed,Carreau
jupyter,jupyter-drive,116,2015-05-29 22:45:23,True,closed,Carreau
jupyter,jupyter-drive,117,2015-06-01 23:03:49,False,closed,Carreau
jupyter,jupyter-drive,118,2015-06-05 21:09:05,True,closed,Carreau
jupyter,jupyter-drive,124,2015-07-15 00:53:20,True,closed,Carreau
jupyter,jupyter-drive,132,2016-02-20 18:05:09,True,closed,rgbkrk
jupyter,jupyter-drive,133,2016-03-22 16:12:28,True,closed,rjw57
jupyter,jupyter-drive,134,2016-03-22 16:18:25,True,closed,rjw57
jupyter,jupyter-drive,135,2016-03-22 16:27:54,True,closed,rjw57
jupyter,jupyter-drive,136,2016-03-23 11:58:16,True,closed,rjw57
jupyter,jupyter.github.io,7,2015-05-04 03:24:41,False,closed,bollwyvl
jupyter,jupyter.github.io,8,2015-05-07 23:18:20,True,closed,Carreau
jupyter,jupyter.github.io,10,2015-06-09 04:39:41,True,closed,Carreau
jupyter,jupyter.github.io,11,2015-06-09 19:16:05,True,closed,Carreau
jupyter,jupyter.github.io,12,2015-08-11 20:52:09,True,closed,minrk
jupyter,jupyter.github.io,13,2015-08-20 18:51:29,True,closed,brettcannon
jupyter,jupyter.github.io,14,2015-08-21 02:49:39,True,closed,fperez
